[piece_num, height_of_tower]
1,1
2,4
3,7
4,11
5,11
6,11
7,11
8,14
9,14
10,16
11,17
12,20
13,23
14,25
15,27
16,28
17,31
18,34
19,34
20,34
21,35
22,37
23,39
24,41
25,43
26,44
27,47
28,49
29,49
30,49
31,49
32,51
33,54
34,54
35,54
36,55
37,58
38,61
39,61
40,61
41,62
42,64
43,65
44,67
45,67
46,67
47,69
48,69
49,73
50,75
51,76
52,78
53,81
54,81
55,83
56,84
57,86
58,88
59,88
60,90
61,91
62,94
63,96
64,100
65,100
66,101
67,104
68,107
69,107
70,107
71,107
72,107
73,109
74,111
75,111
76,112
77,114
78,117
79,117
80,119
81,119
82,122
83,122
84,122
85,123
86,123
87,126
88,128
89,130
90,132
91,133
92,135
93,138
94,138
95,138
96,139
97,141
98,142
99,145
100,147
101,148
102,150
103,153
104,153
105,153
106,153
107,155
108,158
109,158
110,158
111,159
112,161
113,164
114,166
115,166
116,167
117,169
118,170
119,174
120,176
121,177
122,180
123,183
124,185
125,187
126,188
127,191
128,193
129,194
130,195
131,196
132,199
133,202
134,204
135,206
136,206
137,206
138,209
139,211
140,211
141,212
142,215
143,217
144,217
145,219
146,220
147,223
148,225
149,227
150,227
151,228
152,230
153,232
154,234
155,236
156,237
157,239
158,240
159,242
160,244
161,245
162,248
163,251
164,255
165,257
166,258
167,261
168,263
169,265
170,265
171,266
172,268
173,270
174,270
175,270
176,271
177,274
178,276
179,277
180,279
181,280
182,283
183,285
184,289
185,289
186,289
187,289
188,292
189,292
190,294
191,295
192,297
193,298
194,300
195,302
196,303
197,306
198,309
199,309
200,311
201,311
202,314
203,317
204,317
205,317
206,318
207,321
208,321
209,323
210,325
211,326
212,329
213,332
214,334
215,336
216,336
217,338
218,338
219,340
220,340
221,341
222,344
223,347
224,349
225,351
226,352
227,355
228,358
229,360
230,362
231,363
232,365
233,367
234,367
235,369
236,370
237,373
238,376
239,376
240,376
241,377
242,380
243,383
244,383
245,385
246,386
247,388
248,389
249,391
250,391
251,392
252,394
253,396
254,398
255,400
256,401
257,404
258,406
259,408
260,408
261,409
262,412
263,415
264,415
265,417
266,418
267,420
268,422
269,424
270,426
271,427
272,430
273,430
274,433
275,433
276,434
277,437
278,440
279,444
280,444
281,445
282,448
283,448
284,452
285,454
286,455
287,457
288,460
289,464
290,464
291,464
292,464
293,467
294,469
295,471
296,472
297,475
298,478
299,482
300,482
301,483
302,486
303,488
304,489
305,491
306,492
307,494
308,497
309,499
310,501
311,502
312,505
313,508
314,510
315,510
316,511
317,514
318,517
319,521
320,521
321,522
322,524
323,527
324,527
325,529
326,529
327,531
328,532
329,536
330,536
331,537
332,540
333,543
334,543
335,543
336,544
337,547
338,549
339,553
340,555
341,556
342,558
343,560
344,562
345,564
346,565
347,568
348,568
349,571
350,573
351,574
352,576
353,577
354,579
355,579
356,580
357,583
358,583
359,586
360,586
361,587
362,589
363,592
364,594
365,594
366,595
367,595
368,598
369,602
370,604
371,604
372,606
373,609
374,611
375,613
376,614
377,617
378,620
379,622
380,624
381,625
382,628
383,631
384,633
385,633
386,634
387,637
388,640
389,640
390,640
391,641
392,643
393,645
394,646
395,647
396,648
397,651
398,651
399,655
400,657
401,657
402,657
403,660
404,664
405,664
406,665
407,668
408,670
409,672
410,672
411,673
412,676
413,679
414,683
415,683
416,684
417,687
418,690
419,690
420,692
421,693
422,696
423,698
424,700
425,702
426,703
427,706
428,708
429,709
430,709
431,710
432,712
433,713
434,716
435,716
436,716
437,717
438,720
439,720
440,720
441,720
442,722
443,724
444,726
445,726
446,727
447,730
448,733
449,737
450,737
451,738
452,741
453,743
454,745
455,745
456,746
457,749
458,752
459,752
460,752
461,752
462,753
463,756
464,760
465,762
466,763
467,765
468,768
469,770
470,772
471,773
472,775
473,777
474,779
475,779
476,780
477,782
478,785
479,785
480,785
481,785
482,788
483,791
484,791
485,793
486,794
487,797
488,799
489,799
490,799
491,800
492,803
493,806
494,806
495,808
496,809
497,812
498,815
499,817
500,817
501,818
502,821
503,824
504,826
505,826
506,827
507,829
508,832
509,832
510,832
511,833
512,836
513,838
514,840
515,840
516,841
517,844
518,847
519,851
520,853
521,853
522,855
523,858
524,862
525,862
526,863
527,865
528,867
529,869
530,869
531,870
532,873
533,875
534,876
535,877
536,878
537,880
538,881
539,885
540,887
541,888
542,891
543,893
544,897
545,899
546,900
547,903
548,906
549,910
550,910
551,910
552,912
553,914
554,918
555,918
556,919
557,922
558,925
559,927
560,929
561,930
562,933
563,933
564,937
565,937
566,938
567,941
568,944
569,946
570,948
571,949
572,952
573,954
574,954
575,954
576,955
577,957
578,960
579,960
580,960
581,960
582,962
583,964
584,968
585,968
586,969
587,972
588,972
589,975
590,977
591,977
592,979
593,981
594,983
595,983
596,984
597,984
598,987
599,989
600,989
601,990
602,993
603,993
604,996
605,998
606,999
607,1002
608,1004
609,1006
610,1006
611,1006
612,1008
613,1010
614,1014
615,1016
616,1017
617,1019
618,1022
619,1026
620,1028
621,1029
622,1032
623,1035
624,1035
625,1035
626,1036
627,1038
628,1039
629,1041
630,1043
631,1044
632,1047
633,1050
634,1052
635,1054
636,1055
637,1055
638,1058
639,1060
640,1062
641,1063
642,1066
643,1069
644,1073
645,1073
646,1074
647,1077
648,1079
649,1079
650,1081
651,1082
652,1085
653,1087
654,1089
655,1089
656,1090
657,1093
658,1095
659,1096
660,1096
661,1097
662,1100
663,1103
664,1103
665,1103
666,1104
667,1107
668,1109
669,1109
670,1109
671,1110
672,1112
673,1113
674,1114
675,1116
676,1117
677,1120
678,1122
679,1122
680,1122
681,1122
682,1125
683,1128
684,1128
685,1128
686,1129
687,1131
688,1134
689,1138
690,1138
691,1139
692,1142
693,1145
694,1145
695,1145
696,1146
697,1149
698,1149
699,1153
700,1155
701,1156
702,1159
703,1162
704,1164
705,1166
706,1167
707,1170
708,1172
709,1176
710,1178
711,1179
712,1182
713,1185
714,1185
715,1185
716,1186
717,1189
718,1189
719,1191
720,1191
721,1192
722,1194
723,1197
724,1197
725,1197
726,1198
727,1201
728,1204
729,1204
730,1204
731,1204
732,1206
733,1206
734,1209
735,1209
736,1210
737,1213
738,1216
739,1216
740,1216
741,1217
742,1220
743,1220
744,1224
745,1224
746,1225
747,1228
748,1228
749,1230
750,1232
751,1233
752,1236
753,1238
754,1240
755,1242
756,1242
757,1245
758,1247
759,1249
760,1249
761,1250
762,1252
763,1253
764,1255
765,1255
766,1255
767,1257
768,1260
769,1260
770,1260
771,1261
772,1264
773,1266
774,1268
775,1268
776,1268
777,1269
778,1271
779,1271
780,1271
781,1272
782,1275
783,1277
784,1277
785,1278
786,1278
787,1281
788,1284
789,1284
790,1284
791,1285
792,1288
793,1290
794,1292
795,1292
796,1292
797,1294
798,1297
799,1297
800,1299
801,1300
802,1303
803,1306
804,1310
805,1310
806,1311
807,1313
808,1315
809,1315
810,1315
811,1316
812,1319
813,1322
814,1324
815,1324
816,1325
817,1328
818,1330
819,1330
820,1330
821,1330
822,1333
823,1336
824,1338
825,1340
826,1341
827,1344
828,1347
829,1347
830,1347
831,1348
832,1351
833,1354
834,1358
835,1358
836,1359
837,1362
838,1364
839,1366
840,1368
841,1369
842,1372
843,1375
844,1375
845,1375
846,1376
847,1379
848,1382
849,1386
850,1388
851,1389
852,1392
853,1395
854,1395
855,1395
856,1396
857,1399
858,1401
859,1402
860,1404
861,1405
862,1407
863,1408
864,1411
865,1411
866,1412
867,1412
868,1415
869,1417
870,1417
871,1418
872,1420
873,1423
874,1423
875,1425
876,1426
877,1426
878,1429
879,1433
880,1435
881,1436
882,1439
883,1442
884,1444
885,1446
886,1447
887,1449
888,1450
889,1452
890,1452
891,1453
892,1456
893,1456
894,1459
895,1459
896,1459
897,1460
898,1463
899,1465
900,1465
901,1466
902,1469
903,1471
904,1473
905,1475
906,1476
907,1478
908,1481
909,1483
910,1485
911,1486
912,1486
913,1489
914,1491
915,1491
916,1492
917,1495
918,1498
919,1500
920,1502
921,1503
922,1506
923,1508
924,1512
925,1514
926,1515
927,1517
928,1518
929,1522
930,1524
931,1525
932,1528
933,1531
934,1535
935,1535
936,1536
937,1539
938,1542
939,1546
940,1548
941,1549
942,1551
943,1554
944,1556
945,1556
946,1557
947,1560
948,1560
949,1560
950,1560
951,1561
952,1564
953,1566
954,1568
955,1568
956,1569
957,1572
958,1574
959,1576
960,1578
961,1579
962,1582
963,1584
964,1584
965,1585
966,1585
967,1588
968,1588
969,1591
970,1591
971,1592
972,1595
973,1598
974,1598
975,1598
976,1599
977,1602
978,1604
979,1604
980,1604
981,1605
982,1608
983,1611
984,1611
985,1611
986,1612
987,1615
988,1615
989,1619
990,1619
991,1620
992,1623
993,1626
994,1628
995,1630
996,1631
997,1634
998,1636
999,1640
1000,1642
1001,1643
1002,1645
1003,1648
1004,1648
1005,1648
1006,1649
1007,1651
1008,1652
1009,1656
1010,1658
1011,1659
1012,1662
1013,1664
1014,1668
1015,1668
1016,1669
1017,1672
1018,1674
1019,1676
1020,1676
1021,1677
1022,1680
1023,1682
1024,1686
1025,1686
1026,1687
1027,1690
1028,1690
1029,1694
1030,1694
1031,1694
1032,1696
1033,1697
1034,1699
1035,1699
1036,1700
1037,1703
1038,1703
1039,1705
1040,1705
1041,1706
1042,1709
1043,1712
1044,1716
1045,1716
1046,1716
1047,1718
1048,1721
1049,1721
1050,1721
1051,1722
1052,1724
1053,1725
1054,1728
1055,1728
1056,1728
1057,1729
1058,1731
1059,1735
1060,1735
1061,1735
1062,1735
1063,1737
1064,1737
1065,1737
1066,1738
1067,1740
1068,1743
1069,1745
1070,1745
1071,1745
1072,1747
1073,1750
1074,1752
1075,1752
1076,1753
1077,1755
1078,1758
1079,1762
1080,1762
1081,1762
1082,1762
1083,1765
1084,1769
1085,1769
1086,1770
1087,1773
1088,1775
1089,1777
1090,1777
1091,1777
1092,1779
1093,1782
1094,1786
1095,1786
1096,1787
1097,1790
1098,1792
1099,1794
1100,1796
1101,1797
1102,1799
1103,1802
1104,1802
1105,1802
1106,1803
1107,1806
1108,1809
1109,1811
1110,1813
1111,1814
1112,1814
1113,1817
1114,1819
1115,1821
1116,1822
1117,1823
1118,1825
1119,1826
1120,1826
1121,1826
1122,1829
1123,1832
1124,1832
1125,1834
1126,1834
1127,1834
1128,1837
1129,1837
1130,1837
1131,1838
1132,1841
1133,1843
1134,1847
1135,1847
1136,1848
1137,1851
1138,1854
1139,1858
1140,1858
1141,1858
1142,1860
1143,1863
1144,1867
1145,1869
1146,1869
1147,1871
1148,1873
1149,1873
1150,1873
1151,1873
1152,1876
1153,1879
1154,1881
1155,1883
1156,1884
1157,1886
1158,1888
1159,1890
1160,1890
1161,1890
1162,1892
1163,1893
1164,1897
1165,1897
1166,1897
1167,1897
1168,1900
1169,1900
1170,1902
1171,1903
1172,1905
1173,1906
1174,1908
1175,1910
1176,1911
1177,1914
1178,1916
1179,1918
1180,1920
1181,1921
1182,1924
1183,1926
1184,1926
1185,1926
1186,1927
1187,1930
1188,1933
1189,1935
1190,1935
1191,1936
1192,1939
1193,1941
1194,1943
1195,1945
1196,1946
1197,1949
1198,1949
1199,1952
1200,1952
1201,1953
1202,1954
1203,1956
1204,1958
1205,1960
1206,1961
1207,1964
1208,1967
1209,1969
1210,1969
1211,1969
1212,1969
1213,1970
1214,1972
1215,1974
1216,1975
1217,1978
1218,1981
1219,1985
1220,1985
1221,1986
1222,1989
1223,1992
1224,1996
1225,1996
1226,1996
1227,1996
1228,1997
1229,1999
1230,1999
1231,2000
1232,2003
1233,2006
1234,2010
1235,2012
1236,2013
1237,2015
1238,2018
1239,2018
1240,2018
1241,2019
1242,2022
1243,2022
1244,2022
1245,2023
1246,2024
1247,2027
1248,2029
1249,2033
1250,2035
1251,2036
1252,2038
1253,2041
1254,2045
1255,2045
1256,2046
1257,2049
1258,2051
1259,2053
1260,2053
1261,2053
1262,2054
1263,2055
1264,2057
1265,2057
1266,2058
1267,2061
1268,2063
1269,2065
1270,2065
1271,2066
1272,2068
1273,2070
1274,2071
1275,2071
1276,2071
1277,2074
1278,2074
1279,2076
1280,2076
1281,2077
1282,2079
1283,2082
1284,2084
1285,2086
1286,2087
1287,2090
1288,2093
1289,2095
1290,2095
1291,2096
1292,2099
1293,2101
1294,2102
1295,2102
1296,2103
1297,2105
1298,2107
1299,2111
1300,2111
1301,2112
1302,2115
1303,2115
1304,2116
1305,2117
1306,2118
1307,2121
1308,2123
1309,2125
1310,2127
1311,2128
1312,2130
1313,2131
1314,2135
1315,2135
1316,2136
1317,2138
1318,2141
1319,2141
1320,2141
1321,2141
1322,2144
1323,2147
1324,2151
1325,2151
1326,2151
1327,2153
1328,2153
1329,2153
1330,2155
1331,2155
1332,2156
1333,2159
1334,2159
1335,2159
1336,2160
1337,2162
1338,2165
1339,2167
1340,2169
1341,2170
1342,2173
1343,2176
1344,2178
1345,2178
1346,2179
1347,2182
1348,2182
1349,2182
1350,2182
1351,2183
1352,2186
1353,2189
1354,2189
1355,2191
1356,2192
1357,2195
1358,2198
1359,2198
1360,2200
1361,2201
1362,2204
1363,2204
1364,2206
1365,2206
1366,2207
1367,2210
1368,2213
1369,2213
1370,2215
1371,2216
1372,2218
1373,2221
1374,2225
1375,2227
1376,2228
1377,2228
1378,2231
1379,2232
1380,2233
1381,2234
1382,2237
1383,2240
1384,2240
1385,2240
1386,2241
1387,2243
1388,2245
1389,2247
1390,2249
1391,2249
1392,2249
1393,2252
1394,2253
1395,2255
1396,2255
1397,2258
1398,2258
1399,2261
1400,2261
1401,2261
1402,2263
1403,2265
1404,2265
1405,2265
1406,2266
1407,2268
1408,2269
1409,2271
1410,2271
1411,2272
1412,2275
1413,2275
1414,2275
1415,2275
1416,2276
1417,2279
1418,2279
1419,2281
1420,2283
1421,2284
1422,2287
1423,2290
1424,2294
1425,2296
1426,2297
1427,2300
1428,2302
1429,2302
1430,2302
1431,2303
1432,2306
1433,2308
1434,2310
1435,2310
1436,2310
1437,2312
1438,2314
1439,2316
1440,2316
1441,2317
1442,2320
1443,2323
1444,2323
1445,2323
1446,2324
1447,2327
1448,2330
1449,2334
1450,2336
1451,2337
1452,2340
1453,2343
1454,2343
1455,2343
1456,2343
1457,2345
1458,2348
1459,2348
1460,2350
1461,2351
1462,2354
1463,2357
1464,2359
1465,2361
1466,2362
1467,2365
1468,2365
1469,2367
1470,2367
1471,2368
1472,2371
1473,2371
1474,2372
1475,2374
1476,2375
1477,2375
1478,2378
1479,2379
1480,2381
1481,2382
1482,2385
1483,2388
1484,2388
1485,2390
1486,2391
1487,2394
1488,2397
1489,2401
1490,2403
1491,2403
1492,2406
1493,2406
1494,2406
1495,2408
1496,2409
1497,2412
1498,2414
1499,2416
1500,2416
1501,2417
1502,2419
1503,2422
1504,2424
1505,2426
1506,2426
1507,2426
1508,2426
1509,2430
1510,2432
1511,2432
1512,2432
1513,2432
1514,2436
1515,2436
1516,2437
1517,2440
1518,2443
1519,2445
1520,2445
1521,2445
1522,2447
1523,2449
1524,2451
1525,2451
1526,2452
1527,2454
1528,2457
1529,2457
1530,2457
1531,2458
1532,2460
1533,2462
1534,2466
1535,2466
1536,2467
1537,2469
1538,2470
1539,2472
1540,2472
1541,2472
1542,2475
1543,2477
1544,2477
1545,2477
1546,2478
1547,2481
1548,2484
1549,2484
1550,2484
1551,2485
1552,2488
1553,2490
1554,2492
1555,2492
1556,2493
1557,2496
1558,2499
1559,2503
1560,2503
1561,2504
1562,2507
1563,2510
1564,2510
1565,2510
1566,2511
1567,2514
1568,2514
1569,2517
1570,2519
1571,2520
1572,2522
1573,2525
1574,2527
1575,2527
1576,2527
1577,2529
1578,2531
1579,2531
1580,2531
1581,2532
1582,2535
1583,2537
1584,2539
1585,2539
1586,2540
1587,2542
1588,2544
1589,2548
1590,2548
1591,2549
1592,2552
1593,2552
1594,2554
1595,2554
1596,2555
1597,2558
1598,2561
1599,2561
1600,2561
1601,2562
1602,2565
1603,2568
1604,2570
1605,2570
1606,2571
1607,2574
1608,2577
1609,2577
1610,2577
1611,2578
1612,2581
1613,2584
1614,2584
1615,2584
1616,2585
1617,2585
1618,2588
1619,2589
1620,2589
1621,2590
1622,2593
1623,2593
1624,2597
1625,2599
1626,2600
1627,2603
1628,2605
1629,2607
1630,2607
1631,2608
1632,2610
1633,2613
1634,2615
1635,2615
1636,2616
1637,2618
1638,2621
1639,2623
1640,2625
1641,2626
1642,2629
1643,2629
1644,2633
1645,2635
1646,2636
1647,2638
1648,2640
1649,2640
1650,2640
1651,2641
1652,2644
1653,2647
1654,2647
1655,2647
1656,2648
1657,2650
1658,2653
1659,2655
1660,2657
1661,2658
1662,2661
1663,2661
1664,2663
1665,2663
1666,2664
1667,2667
1668,2670
1669,2670
1670,2670
1671,2671
1672,2673
1673,2674
1674,2677
1675,2679
1676,2679
1677,2679
1678,2682
1679,2682
1680,2684
1681,2685
1682,2688
1683,2691
1684,2693
1685,2693
1686,2694
1687,2697
1688,2700
1689,2704
1690,2704
1691,2705
1692,2707
1693,2710
1694,2710
1695,2710
1696,2711
1697,2714
1698,2717
1699,2717
1700,2717
1701,2718
1702,2721
1703,2724
1704,2728
1705,2728
1706,2729
1707,2731
1708,2733
1709,2733
1710,2735
1711,2735
1712,2737
1713,2739
1714,2741
1715,2741
1716,2741
1717,2743
1718,2744
1719,2746
1720,2748
1721,2748
1722,2748
1723,2750
1724,2752
1725,2752
1726,2753
1727,2756
1728,2758
1729,2758
1730,2758
1731,2759
1732,2761
1733,2764
1734,2764
1735,2766
1736,2767
1737,2770
1738,2772
1739,2774
1740,2776
1741,2777
1742,2780
1743,2780
1744,2783
1745,2783
1746,2783
1747,2785
1748,2788
1749,2788
1750,2788
1751,2789
1752,2792
1753,2794
1754,2794
1755,2796
1756,2797
1757,2800
1758,2800
1759,2800
1760,2800
1761,2801
1762,2803
1763,2804
1764,2806
1765,2808
1766,2809
1767,2811
1768,2813
1769,2815
1770,2817
1771,2818
1772,2820
1773,2822
1774,2824
1775,2826
1776,2827
1777,2830
1778,2830
1779,2830
1780,2832
1781,2832
1782,2834
1783,2836
1784,2838
1785,2840
1786,2841
1787,2844
1788,2847
1789,2847
1790,2849
1791,2850
1792,2853
1793,2856
1794,2858
1795,2858
1796,2859
1797,2861
1798,2862
1799,2864
1800,2864
1801,2864
1802,2867
1803,2869
1804,2869
1805,2869
1806,2870
1807,2873
1808,2876
1809,2876
1810,2878
1811,2879
1812,2881
1813,2884
1814,2886
1815,2886
1816,2887
1817,2890
1818,2892
1819,2893
1820,2895
1821,2896
1822,2899
1823,2902
1824,2902
1825,2902
1826,2902
1827,2903
1828,2906
1829,2908
1830,2908
1831,2909
1832,2911
1833,2914
1834,2914
1835,2916
1836,2917
1837,2920
1838,2923
1839,2923
1840,2925
1841,2926
1842,2929
1843,2932
1844,2932
1845,2932
1846,2933
1847,2935
1848,2938
1849,2940
1850,2940
1851,2941
1852,2944
1853,2947
1854,2947
1855,2947
1856,2948
1857,2951
1858,2951
1859,2954
1860,2954
1861,2954
1862,2956
1863,2959
1864,2963
1865,2963
1866,2964
1867,2966
1868,2968
1869,2970
1870,2972
1871,2973
1872,2976
1873,2978
1874,2982
1875,2982
1876,2983
1877,2985
1878,2986
1879,2988
1880,2990
1881,2991
1882,2994
1883,2997
1884,2997
1885,2999
1886,3000
1887,3003
1888,3006
1889,3008
1890,3008
1891,3009
1892,3012
1893,3014
1894,3016
1895,3016
1896,3016
1897,3018
1898,3020
1899,3021
1900,3023
1901,3024
1902,3026
1903,3028
1904,3030
1905,3030
1906,3031
1907,3032
1908,3034
1909,3036
1910,3038
1911,3039
1912,3042
1913,3045
1914,3049
1915,3049
1916,3050
1917,3053
1918,3053
1919,3055
1920,3055
1921,3056
1922,3059
1923,3059
1924,3061
1925,3063
1926,3063
1927,3066
1928,3066
1929,3069
1930,3071
1931,3072
1932,3075
1933,3075
1934,3078
1935,3078
1936,3079
1937,3082
1938,3082
1939,3085
1940,3085
1941,3085
1942,3087
1943,3087
1944,3087
1945,3089
1946,3090
1947,3090
1948,3093
1949,3094
1950,3094
1951,3095
1952,3098
1953,3100
1954,3101
1955,3103
1956,3104
1957,3107
1958,3107
1959,3109
1960,3111
1961,3112
1962,3115
1963,3118
1964,3120
1965,3122
1966,3122
1967,3122
1968,3124
1969,3126
1970,3128
1971,3128
1972,3131
1973,3131
1974,3131
1975,3133
1976,3133
1977,3134
1978,3137
1979,3137
1980,3137
1981,3138
1982,3141
1983,3144
1984,3144
1985,3144
1986,3145
1987,3148
1988,3151
1989,3155
1990,3155
1991,3156
1992,3158
1993,3160
1994,3164
1995,3164
1996,3165
1997,3168
1998,3168
1999,3172
2000,3172
2001,3172
2002,3174
2003,3177
2004,3179
2005,3181
2006,3182
2007,3185
2008,3187
2009,3189
2010,3189
2011,3190
2012,3193
2013,3196
2014,3196
2015,3198
2016,3199
2017,3201
2018,3203
2019,3205
2020,3207
2021,3208
2022,3211
2023,3211
2024,3214
2025,3214
2026,3215
2027,3218
2028,3221
2029,3225
2030,3225
2031,3226
2032,3229
2033,3229
2034,3233
2035,3235
2036,3236
2037,3238
2038,3241
2039,3245
2040,3245
2041,3245
2042,3245
2043,3248
2044,3250
2045,3252
2046,3253
2047,3256
2048,3259
2049,3263
2050,3263
2051,3264
2052,3267
2053,3269
2054,3270
2055,3272
2056,3273
2057,3275
2058,3278
2059,3280
2060,3282
2061,3283
2062,3286
2063,3289
2064,3291
2065,3291
2066,3292
2067,3295
2068,3298
2069,3302
2070,3302
2071,3303
2072,3305
2073,3308
2074,3308
2075,3310
2076,3310
2077,3312
2078,3313
2079,3317
2080,3317
2081,3318
2082,3321
2083,3324
2084,3324
2085,3324
2086,3325
2087,3328
2088,3330
2089,3334
2090,3336
2091,3337
2092,3339
2093,3341
2094,3343
2095,3345
2096,3346
2097,3349
2098,3349
2099,3352
2100,3354
2101,3355
2102,3357
2103,3358
2104,3360
2105,3360
2106,3361
2107,3364
2108,3364
2109,3367
2110,3367
2111,3368
2112,3370
2113,3373
2114,3375
2115,3375
2116,3376
2117,3376
2118,3379
2119,3383
2120,3385
2121,3385
2122,3387
2123,3390
2124,3392
2125,3394
2126,3395
2127,3398
2128,3401
2129,3403
2130,3405
2131,3406
2132,3409
2133,3412
2134,3414
2135,3414
2136,3415
2137,3418
2138,3421
2139,3421
2140,3421
2141,3422
2142,3424
2143,3426
2144,3427
2145,3428
2146,3429
2147,3432
2148,3432
2149,3436
2150,3438
2151,3438
2152,3438
2153,3441
2154,3445
2155,3445
2156,3446
2157,3449
2158,3451
2159,3453
2160,3453
2161,3454
2162,3457
2163,3460
2164,3464
2165,3464
2166,3465
2167,3468
2168,3471
2169,3471
2170,3473
2171,3474
2172,3477
2173,3479
2174,3481
2175,3483
2176,3484
2177,3487
2178,3489
2179,3490
2180,3490
2181,3491
2182,3493
2183,3494
2184,3497
2185,3497
2186,3497
2187,3498
2188,3501
2189,3501
2190,3501
2191,3501
2192,3503
2193,3505
2194,3507
2195,3507
2196,3508
2197,3511
2198,3514
2199,3518
2200,3518
2201,3519
2202,3522
2203,3524
2204,3526
2205,3526
2206,3527
2207,3530
2208,3533
2209,3533
2210,3533
2211,3533
2212,3534
2213,3537
2214,3541
2215,3543
2216,3544
2217,3546
2218,3549
2219,3551
2220,3553
2221,3554
2222,3556
2223,3558
2224,3560
2225,3560
2226,3561
2227,3563
2228,3566
2229,3566
2230,3566
2231,3566
2232,3569
2233,3572
2234,3572
2235,3574
2236,3575
2237,3578
2238,3580
2239,3580
2240,3580
2241,3581
2242,3584
2243,3587
2244,3587
2245,3589
2246,3590
2247,3593
2248,3596
2249,3598
2250,3598
2251,3599
2252,3602
2253,3605
2254,3607
2255,3607
2256,3608
2257,3610
2258,3613
2259,3613
2260,3613
2261,3614
